id,rl_eight_params_F,rlddm_eight_params_F,rlddm_eight_params_all_affect_drift_F,rlddm_nine_params_F
AW743,-79.9185201099715,-252.739954565376,-92.0138038158711,-62.5797379185967
AW910,-41.8476014310285,-114.248257646107,-14.8780457773747,-6.2593241456155
AW938,-112.707220845581,-176.64631117019,-110.644579218378,-111.334659276441
AW950,-64.4589468578775,-165.469875221366,-66.4020817790317,-59.4273764351861
AX082,-67.6350930894837,-124.504324192339,-23.6408469516191,-24.3855955433384
AX394,-62.9312266604411,-204.46985160634,-56.5566065657174,-35.8220772141055
AX490,-75.002946912439,-136.348762925581,-49.7225263032169,-47.8867476145797
AX598,-53.0901402291464,-94.8910215122339,-17.6882069260515,-3.27388837221925
AX666,-90.3271743881349,-244.804333590116,-95.5984235352052,-79.3407616765532
AX683,-63.8065752675153,-104.493254649966,-12.7711177080051,-10.7900234030426
AX964,-92.1535111051892,-69.0840893253737,-54.4946430813217,-36.2297660260484
AY444,-89.9487848092841,-208.041744796212,-84.0470920018746,-79.003943270886
AY480,-49.4396694943924,-121.608296299612,-38.5952687333998,-31.8522653514977
AY649,-81.5664065960911,-148.731821209476,-38.1124538322922,-38.3277422029539
AY758,-111.916062592508,-163.960376496944,-107.443761512852,-107.116057877212
AY762,-90.2357171077985,-245.192184919237,-98.3569090247006,-76.0535836262887
AY826,-77.0579716072055,-188.64585920034,-64.498381531183,-62.1332717870015
AY841,-36.7531475016304,-65.9547790539882,34.1809179913027,50.1297672214393
AY862,-78.250892585247,-157.22093666765,-53.5554937385247,-49.1095060885533
AY995,-67.2214863017731,-138.14805023361,-49.0787543939024,-38.2283879571279
AZ076,-71.9640725663254,-237.837901379425,-65.8220568298766,-34.9893751169104
AZ175,-103.312547235049,-210.213035952718,-95.00291415209,-94.6049860307943
AZ233,-68.2066054695582,-140.565832273608,-25.4449059653212,-12.7779852457784
AZ451,-90.2969755995922,-110.242332601355,-56.1541668282358,-51.7603363454318
AZ532,-71.199036232597,-97.8314125973235,-26.438364542684,-16.9596315912967
AZ608,-80.7291092179504,-110.343483624969,-22.8642526065387,-21.6106617103914
AZ690,-56.7355510852266,-369.726374552641,-136.113466433436,-57.7099322341454
AZ781,-84.6814419187115,-135.243755073266,-37.4008361031939,-39.5801983772901
AZ810,-54.3632705687781,-128.508005163572,-35.8147596674771,-26.7412934044771
AZ833,-91.9461551941193,-202.609874427384,-59.7771016346078,-49.1938927829392
AZ843,-86.1926346893816,-159.901924907158,-81.0343810976895,-77.1234635995059
AZ873,-76.5896981221303,-135.345401542987,-39.290589138975,-34.5242348950941
AZ985,-69.6460939085628,-88.5605086574406,-2.24256204416379,1.04755247683251
